,Name,Metaphor,Link
0,Bitcoin,BTC,https://www.tradingview.com/symbols/BTCUSD/?exchange=CRYPTO
1,Ethereum,ETH,https://www.tradingview.com/symbols/ETHUSD/?exchange=CRYPTO
2,Tether,USDT,https://www.tradingview.com/symbols/USDTUSD/?exchange=CRYPTO
3,BNB,BNB,https://www.tradingview.com/symbols/BNBUSD/?exchange=CRYPTO
4,Solana,SOL,https://www.tradingview.com/symbols/SOLUSD/?exchange=CRYPTO
5,USD Coin,USDC,https://www.tradingview.com/symbols/USDCUSD/?exchange=CRYPTO
6,XRP,XRP,https://www.tradingview.com/symbols/XRPUSD/?exchange=CRYPTO
7,Dogecoin,DOGE,https://www.tradingview.com/symbols/DOGEUSD/?exchange=CRYPTO
8,Toncoin,TON,https://www.tradingview.com/symbols/TONUSD/?exchange=CRYPTO
9,Cardano,ADA,https://www.tradingview.com/symbols/ADAUSD/?exchange=CRYPTO
10,Shiba Inu,SHIB,https://www.tradingview.com/symbols/SHIBUSD/?exchange=CRYPTO
11,Avalanche,AVAX,https://www.tradingview.com/symbols/AVAXUSD/?exchange=CRYPTO
12,TRON,TRX,https://www.tradingview.com/symbols/TRXUSD/?exchange=CRYPTO
13,Polkadot,DOT,https://www.tradingview.com/symbols/DOTUSD/?exchange=CRYPTO
14,Bitcoin Cash,BCH,https://www.tradingview.com/symbols/BCHUSD/?exchange=CRYPTO
15,Chainlink,LINK,https://www.tradingview.com/symbols/LINKUSD/?exchange=CRYPTO
16,Polygon,MATIC,https://www.tradingview.com/symbols/MATICUSD/?exchange=CRYPTO
17,Litecoin,LTC,https://www.tradingview.com/symbols/LTCUSD/?exchange=CRYPTO
18,NEAR Protocol,NEAR,https://www.tradingview.com/symbols/NEARUSD/?exchange=CRYPTO
19,Internet Computer,ICP,https://www.tradingview.com/symbols/ICPUSD/?exchange=CRYPTO
20,UNUS SED LEO,LEO,https://www.tradingview.com/symbols/LEOUSD/?exchange=CRYPTO
21,Dai,DAI,https://www.tradingview.com/symbols/DAIUSD/?exchange=CRYPTO
22,Uniswap,UNI,https://www.tradingview.com/symbols/UNIUSD/?exchange=CRYPTO
23,Aptos,APT,https://www.tradingview.com/symbols/APTOUSD/?exchange=CRYPTO
24,First Digital USD,FDUSD,https://www.tradingview.com/symbols/FDUSDUSD/?exchange=CRYPTO
25,Ethereum Classic,ETC,https://www.tradingview.com/symbols/ETCUSD/?exchange=CRYPTO
26,Mantle,MNT,https://www.tradingview.com/symbols/MNTUSD/?exchange=CRYPTO
27,OKB,OKB,https://www.tradingview.com/symbols/OKBUSD/?exchange=CRYPTO
28,Stacks,STX,https://www.tradingview.com/symbols/STXSUSD/?exchange=CRYPTO
29,Cronos,CRO,https://www.tradingview.com/symbols/CROUSD/?exchange=CRYPTO
30,Cosmos,ATOM,https://www.tradingview.com/symbols/ATOMUSD/?exchange=CRYPTO
31,Filecoin,FIL,https://www.tradingview.com/symbols/FILUSD/?exchange=CRYPTO
32,Stellar,XLM,https://www.tradingview.com/symbols/XLMUSD/?exchange=CRYPTO
33,Bittensor,TAO,https://www.tradingview.com/symbols/TAOBUSD/?exchange=CRYPTO
34,Render Token,RNDR,https://www.tradingview.com/symbols/RNDRUSD/?exchange=CRYPTO
35,Arbitrum,ARB,https://www.tradingview.com/symbols/ARBIUSD/?exchange=CRYPTO
36,Maker,MKR,https://www.tradingview.com/symbols/MKRUSD/?exchange=CRYPTO
37,Hedera,HBAR,https://www.tradingview.com/symbols/HBARUSD/?exchange=CRYPTO
38,VeChain,VET,https://www.tradingview.com/symbols/VETUSD/?exchange=CRYPTO
39,Kaspa,KAS,https://www.tradingview.com/symbols/KASUSD/?exchange=CRYPTO
40,Immutable X,IMX,https://www.tradingview.com/symbols/IMXUSD/?exchange=CRYPTO
41,Injective,INJ,https://www.tradingview.com/symbols/INJUSD/?exchange=CRYPTO
42,dogwifhat,WIF,https://www.tradingview.com/symbols/WIFUSD/?exchange=CRYPTO
43,The Graph,GRT,https://www.tradingview.com/symbols/GRTUSD/?exchange=CRYPTO
44,Optimism,OP,https://www.tradingview.com/symbols/OPUSD/?exchange=CRYPTO
45,Monero,XMR,https://www.tradingview.com/symbols/XMRUSD/?exchange=CRYPTO
46,Pepe,PEPE,https://www.tradingview.com/symbols/PEPEUSD/?exchange=CRYPTO
47,Theta Network,THETA,https://www.tradingview.com/symbols/THETAUSD/?exchange=CRYPTO
48,Core,CORE,https://www.tradingview.com/symbols/COREDUSD/?exchange=CRYPTO
49,Fantom,FTM,https://www.tradingview.com/symbols/FTMUSD/?exchange=CRYPTO
50,Celestia,TIA,https://www.tradingview.com/symbols/TIA2USD/?exchange=CRYPTO
51,Bitget Token,BGB,https://www.tradingview.com/symbols/BGBUSD/?exchange=CRYPTO
52,Lido DAO,LDO,https://www.tradingview.com/symbols/LDOUSD/?exchange=CRYPTO
53,Sui,SUI,https://www.tradingview.com/symbols/SUIUSD/?exchange=CRYPTO
54,Fetch.ai,FET,https://www.tradingview.com/symbols/FETUSD/?exchange=CRYPTO
55,Arweave,AR,https://www.tradingview.com/symbols/ARUSD/?exchange=CRYPTO
56,THORChain,RUNE,https://www.tradingview.com/symbols/RUNEUSD/?exchange=CRYPTO
57,Pendle,PENDLE,https://www.tradingview.com/symbols/PENDLEUSD/?exchange=CRYPTO
58,Sei,SEI,https://www.tradingview.com/symbols/SEIUSD/?exchange=CRYPTO
59,Beam,BEAM,https://www.tradingview.com/symbols/BEAM2USD/?exchange=CRYPTO
60,Algorand,ALGO,https://www.tradingview.com/symbols/ALGOUSD/?exchange=CRYPTO
61,Ethena,ENA,https://www.tradingview.com/symbols/ENAUSD/?exchange=CRYPTO
62,Jupiter,JUP,https://www.tradingview.com/symbols/JUPIUSD/?exchange=CRYPTO
63,Floki Inu,FLOKI,https://www.tradingview.com/symbols/FLOKIUSD/?exchange=CRYPTO
64,Bitcoin SV,BSV,https://www.tradingview.com/symbols/BSVUSD/?exchange=CRYPTO
65,Flow,FLOW,https://www.tradingview.com/symbols/FLOWUSD/?exchange=CRYPTO
66,Neo,NEO,https://www.tradingview.com/symbols/NEOUSD/?exchange=CRYPTO
67,Aave,AAVE,https://www.tradingview.com/symbols/AAVEUSD/?exchange=CRYPTO
68,FLARE,FLR,https://www.tradingview.com/symbols/FLRUSD/?exchange=CRYPTO
69,Gala,GALA,https://www.tradingview.com/symbols/GALAUSD/?exchange=CRYPTO
70,Quant,QNT,https://www.tradingview.com/symbols/QNTUSD/?exchange=CRYPTO
71,BitTorrent-New,BTT,https://www.tradingview.com/symbols/BTTUSD/?exchange=CRYPTO
72,Ondo,ONDO,https://www.tradingview.com/symbols/ONDOUSD/?exchange=CRYPTO
73,MultiversX,EGLD,https://www.tradingview.com/symbols/EGLDUSD/?exchange=CRYPTO
74,SingularityNET,AGIX,https://www.tradingview.com/symbols/AGIXUSD/?exchange=CRYPTO
75,Wormhole,W,https://www.tradingview.com/symbols/WUSD/?exchange=CRYPTO
76,Axie Infinity,AXS,https://www.tradingview.com/symbols/AXSUSD/?exchange=CRYPTO
77,eCash,XEC,https://www.tradingview.com/symbols/XECUSD/?exchange=CRYPTO
78,Ronin,RON,https://www.tradingview.com/symbols/RONUSD/?exchange=CRYPTO
79,Chiliz,CHZ,https://www.tradingview.com/symbols/CHZUSD/?exchange=CRYPTO
80,The Sandbox,SAND,https://www.tradingview.com/symbols/SANDUSD/?exchange=CRYPTO
81,Tezos,XTZ,https://www.tradingview.com/symbols/XTZUSD/?exchange=CRYPTO
82,Worldcoin,WLD,https://www.tradingview.com/symbols/WLDWUSD/?exchange=CRYPTO
83,Nervos Network,CKB,https://www.tradingview.com/symbols/CKBUSD/?exchange=CRYPTO
84,Bonk,BONK,https://www.tradingview.com/symbols/BONKUSD/?exchange=CRYPTO
85,Synthetix,SNX,https://www.tradingview.com/symbols/SNXUSD/?exchange=CRYPTO
86,Conflux,CFX,https://www.tradingview.com/symbols/CFXUSD/?exchange=CRYPTO
87,Starknet Token,STRK,https://www.tradingview.com/symbols/STRKSUSD/?exchange=CRYPTO
88,ORDI,ORDI,https://www.tradingview.com/symbols/ORDIUSD/?exchange=CRYPTO
89,Pyth Network,PYTH,https://www.tradingview.com/symbols/PYTHUSD/?exchange=CRYPTO
90,JasmyCoin,JASMY,https://www.tradingview.com/symbols/JASMYUSD/?exchange=CRYPTO
91,Gnosis,GNO,https://www.tradingview.com/symbols/GNOUSD/?exchange=CRYPTO
92,Mina,MINA,https://www.tradingview.com/symbols/MINAUSD/?exchange=CRYPTO
93,Akash Network,AKT,https://www.tradingview.com/symbols/AKTUSD/?exchange=CRYPTO
94,EOS,EOS,https://www.tradingview.com/symbols/EOSUSD/?exchange=CRYPTO
95,Decentraland,MANA,https://www.tradingview.com/symbols/MANAUSD/?exchange=CRYPTO
