,Name,Metaphor,Link
0,"Agilent Technologies, Inc.",A,https://www.tradingview.com/symbols/NYSE-A/
1,Alcoa Corporation,AA,https://www.tradingview.com/symbols/NYSE-AA/
2,Armada Acquisition Corp. I,AACI,https://www.tradingview.com/symbols/NASDAQ-AACI/
3,Ares Acquisition Corporation II,AACT,https://www.tradingview.com/symbols/NYSE-AACT/
4,"Aadi Bioscience, Inc.",AADI,https://www.tradingview.com/symbols/NASDAQ-AADI/
5,African Agriculture Holdings Inc.,AAGR,https://www.tradingview.com/symbols/NASDAQ-AAGR/
6,"American Airlines Group, Inc.",AAL,https://www.tradingview.com/symbols/NASDAQ-AAL/
7,Altisource Asset Management Corp Com,AAMC,https://www.tradingview.com/symbols/AMEX-AAMC/
8,Atlantic American Corporation,AAME,https://www.tradingview.com/symbols/NASDAQ-AAME/
9,"Aarons Holdings Company, Inc.",AAN,https://www.tradingview.com/symbols/NYSE-AAN/
10,"Applied Optoelectronics, Inc.",AAOI,https://www.tradingview.com/symbols/NASDAQ-AAOI/
11,"AAON, Inc.",AAON,https://www.tradingview.com/symbols/NASDAQ-AAON/
12,Advance Auto Parts Inc.,AAP,https://www.tradingview.com/symbols/NYSE-AAP/
13,Apple Inc.,AAPL,https://www.tradingview.com/symbols/NASDAQ-AAPL/
14,AllianceBernstein Holding L.P.,AB,https://www.tradingview.com/symbols/NYSE-AB/
15,American Battery Technology Company,ABAT,https://www.tradingview.com/symbols/NASDAQ-ABAT/
16,AbbVie Inc.,ABBV,https://www.tradingview.com/symbols/NYSE-ABBV/
17,Ameris Bancorp,ABCB,https://www.tradingview.com/symbols/NASDAQ-ABCB/
18,AbCellera Biologics Inc.,ABCL,https://www.tradingview.com/symbols/NASDAQ-ABCL/
19,Abeona Therapeutics Inc.,ABEO,https://www.tradingview.com/symbols/NASDAQ-ABEO/
20,Asbury Automotive Group Inc,ABG,https://www.tradingview.com/symbols/NYSE-ABG/
21,"ARCA biopharma, Inc.",ABIO,https://www.tradingview.com/symbols/NASDAQ-ABIO/
22,"Abacus Life, Inc.",ABL,https://www.tradingview.com/symbols/NASDAQ-ABL/
23,Able View Global Inc.,ABLV,https://www.tradingview.com/symbols/NASDAQ-ABLV/
24,ABM Industries Incorporated,ABM,https://www.tradingview.com/symbols/NYSE-ABM/
25,"Airbnb, Inc.",ABNB,https://www.tradingview.com/symbols/NASDAQ-ABNB/
26,"Acumen Pharmaceuticals, Inc.",ABOS,https://www.tradingview.com/symbols/NASDAQ-ABOS/
27,Absci Corporation,ABSI,https://www.tradingview.com/symbols/NASDAQ-ABSI/
28,Abbott Laboratories,ABT,https://www.tradingview.com/symbols/NYSE-ABT/
29,Abits Group Inc,ABTS,https://www.tradingview.com/symbols/NASDAQ-ABTS/
30,Arbutus Biopharma Corporation,ABUS,https://www.tradingview.com/symbols/NASDAQ-ABUS/
31,"ABVC BioPharma, Inc.",ABVC,https://www.tradingview.com/symbols/NASDAQ-ABVC/
32,"Associated Capital Group, Inc.",AC,https://www.tradingview.com/symbols/NYSE-AC/
33,"Arcosa, Inc.",ACA,https://www.tradingview.com/symbols/NYSE-ACA/
34,Atlantic Coastal Acquisition Corp. II,ACAB,https://www.tradingview.com/symbols/NASDAQ-ACAB/
35,Acri Capital Acquisition Corporation,ACAC,https://www.tradingview.com/symbols/NASDAQ-ACAC/
36,ACADIA Pharmaceuticals Inc.,ACAD,https://www.tradingview.com/symbols/NASDAQ-ACAD/
37,Ace Global Business Acquisition Limited,ACBA,https://www.tradingview.com/symbols/NASDAQ-ACBA/
38,"Accolade, Inc.",ACCD,https://www.tradingview.com/symbols/NASDAQ-ACCD/
39,Acco Brands Corporation,ACCO,https://www.tradingview.com/symbols/NYSE-ACCO/
40,ProFrac Holding Corp.,ACDC,https://www.tradingview.com/symbols/NASDAQ-ACDC/
41,"Accel Entertainment, Inc.",ACEL,https://www.tradingview.com/symbols/NYSE-ACEL/
42,"Adicet Bio, Inc.",ACET,https://www.tradingview.com/symbols/NASDAQ-ACET/
43,Arch Capital Group Ltd.,ACGL,https://www.tradingview.com/symbols/NASDAQ-ACGL/
44,"Acadia Healthcare Company, Inc.",ACHC,https://www.tradingview.com/symbols/NASDAQ-ACHC/
45,Archer Aviation Inc.,ACHR,https://www.tradingview.com/symbols/NYSE-ACHR/
46,"Achieve Life Sciences, Inc.",ACHV,https://www.tradingview.com/symbols/NASDAQ-ACHV/
47,"Albertsons Companies, Inc.",ACI,https://www.tradingview.com/symbols/NYSE-ACI/
48,American Coastal Insurance Corporation,ACIC,https://www.tradingview.com/symbols/NASDAQ-ACIC/
49,AC Immune SA,ACIU,https://www.tradingview.com/symbols/NASDAQ-ACIU/
50,"ACI Worldwide, Inc.",ACIW,https://www.tradingview.com/symbols/NASDAQ-ACIW/
51,"Axcelis Technologies, Inc.",ACLS,https://www.tradingview.com/symbols/NASDAQ-ACLS/
52,"Arcellx, Inc.",ACLX,https://www.tradingview.com/symbols/NASDAQ-ACLX/
53,AECOM,ACM,https://www.tradingview.com/symbols/NYSE-ACM/
54,"ACM Research, Inc.",ACMR,https://www.tradingview.com/symbols/NASDAQ-ACMR/
