,Post ID,Post Category,Post Title,Post Time,Post Link
0,the_block:a75b4c35b094b:0,The Block,Bitcoin ETF battle heats up as BlackRock closes in on Grayscale,"Apr 11, 2024, 00:48 GMT+5",/news/the_block:a75b4c35b094b:0-bitcoin-etf-battle-heats-up-as-blackrock-closes-in-on-grayscale/
1,newsbtc:569223bcd094b:0,NewsBTC,Is The Bull Run Nearing its End? Marathon CEO Asserts Bitcoin ‘Halving’ Rally Already Priced In,"Apr 11, 2024, 00:30 GMT+5",/news/newsbtc:569223bcd094b:0-is-the-bull-run-nearing-its-end-marathon-ceo-asserts-bitcoin-halving-rally-already-priced-in/
2,cointelegraph:88f16fd48094b:0,Cointelegraph," Price analysis 4/10: BTC, ETH, BNB, SOL, XRP, DOGE, TON, ADA, AVAX, SHIB  ","Apr 11, 2024, 00:30 GMT+5",/news/cointelegraph:88f16fd48094b:0-price-analysis-4-10-btc-eth-bnb-sol-xrp-doge-ton-ada-avax-shib/
3,the_block:6da8919bc094b:0,The Block,"Younger generations more invested in crypto than stocks, survey finds","Apr 11, 2024, 00:28 GMT+5",/news/the_block:6da8919bc094b:0-younger-generations-more-invested-in-crypto-than-stocks-survey-finds/
4,DJN_SN20240410010901:0,MarketWatch,Title Not Available,"Apr 11, 2024, 00:25 GMT+5",/news/DJN_SN20240410010901:0/
5,coindar:7a449fde8094b:0,Coindar,Injective Protocol to Hold Token Burn on April 10th,"Apr 11, 2024, 00:21 GMT+5",/news/coindar:7a449fde8094b:0-injective-protocol-to-hold-token-burn-on-april-10th/
6,coindar:fde0d5803094b:0,Coindar,ARPA Partners With Cradles,"Apr 11, 2024, 00:19 GMT+5",/news/coindar:fde0d5803094b:0-arpa-partners-with-cradles/
7,the_block:e2d9db22e094b:0,The Block,Crypto industry reacts to SEC serving Uniswap with Wells Notice: ‘The war on DeFi has begun’,"Apr 11, 2024, 00:17 GMT+5",/news/the_block:e2d9db22e094b:0-crypto-industry-reacts-to-sec-serving-uniswap-with-wells-notice-the-war-on-defi-has-begun/
8,cointelegraph:5d4880908094b:0,Cointelegraph,SEC issues Wells notice to DeFi protocol Uniswap,"Apr 11, 2024, 00:09 GMT+5",/news/cointelegraph:5d4880908094b:0-sec-issues-wells-notice-to-defi-protocol-uniswap/
9,coinedition:72d30ff30094b:0,Coin Edition,EigenLayer Mainnet Node; Google Cloud Expands Blockchain Presence,"Apr 11, 2024, 00:03 GMT+5",/news/coinedition:72d30ff30094b:0-eigenlayer-mainnet-node-google-cloud-expands-blockchain-presence/
10,cointelegraph:fe73741cf094b:0,Cointelegraph," Binance drops Bitcoin Ordinals, medical tourism in the metaverse: Nifty Newsletter ","Apr 11, 2024, 00:00 GMT+5",/news/cointelegraph:fe73741cf094b:0-binance-drops-bitcoin-ordinals-medical-tourism-in-the-metaverse-nifty-newsletter/
11,coindesk:540d92472094b:0,CoinDesk,DeFi Exchange Uniswap Receives Enforcement Notice from the SEC,"Apr 10, 2024, 23:57 GMT+5",/news/coindesk:540d92472094b:0-defi-exchange-uniswap-receives-enforcement-notice-from-the-sec/
12,the_block:427377e02094b:0,The Block,"Uniswap receives SEC lawsuit warning, CLO describes it as ‘another abuse of power’","Apr 10, 2024, 23:50 GMT+5",/news/the_block:427377e02094b:0-uniswap-receives-sec-lawsuit-warning-clo-describes-it-as-another-abuse-of-power/
13,coindesk:ada256600094b:0,CoinDesk,NEAR to Hire Artificial-Intelligence Engineers as Part of AI Roadmap,"Apr 10, 2024, 23:50 GMT+5",/news/coindesk:ada256600094b:0-near-to-hire-artificial-intelligence-engineers-as-part-of-ai-roadmap/
14,u_today:406190d42094b:0,U.Today,US-Based Wealth Management Firm Gets Into Bitcoin,"Apr 10, 2024, 23:49 GMT+5",/news/u_today:406190d42094b:0-us-based-wealth-management-firm-gets-into-bitcoin/
15,cryptobriefing:7c06e874c094b:0,Crypto Briefing,Mysten Labs teams up with Playtron to launch new gaming handheld for blockchain and PC titles,"Apr 10, 2024, 23:49 GMT+5",/news/cryptobriefing:7c06e874c094b:0-mysten-labs-teams-up-with-playtron-to-launch-new-gaming-handheld-for-blockchain-and-pc-titles/
16,beincrypto:edb33ad47094b:0,Beincrypto,"Uniswap’s UNI Tumbles After SEC Issues Wells Notice, Legal Battle Looms","Apr 10, 2024, 23:47 GMT+5",/news/beincrypto:edb33ad47094b:0-uniswap-s-uni-tumbles-after-sec-issues-wells-notice-legal-battle-looms/
17,coindar:97fddba3a094b:0,Coindar,Radiant Capital to Hold AMA on X on April 16th,"Apr 10, 2024, 23:43 GMT+5",/news/coindar:97fddba3a094b:0-radiant-capital-to-hold-ama-on-x-on-april-16th/
